brand_name,brand_id,business_status,on_sale_series_count,pinyin
新龙马汽车,123,1,9,X
SRM鑫源,193,1,18,X
新特汽车,234,1,0,X
谢尔比,306,1,0,X
西雅特,89,1,0,X
西尔贝,245,1,0,X
小虎,429,1,1,X
新吉奥汽车,477,1,7,X
小跑车,534,1,0,X
XEV,543,1,0,X
英菲尼迪,29,1,4,Y
一汽,67,1,3,Y
仰望,546,1,0,Y
野马汽车,107,1,0,Y
云度,188,1,2,Y
依维柯,90,1,6,Y
驭胜,167,1,1,Y
宇通客车,172,1,3,Y
远程汽车,308,1,7,Y
英致汽车,394,1,0,Y
永源,166,1,0,Y
裕路,194,1,0,Y
云雀汽车,206,1,0,Y
雅升汽车,439,1,1,Y
银隆新能源,302,1,1,Y
远航汽车,530,1,0,Y
一汽凌河,367,1,1,Y
英飒,307,1,0,Y
YAMAHA,332,1,0,Y
游侠,208,1,0,Y
易电易行,446,1,0,Y
悠跑科技,490,1,0,Y
越界,536,1,1,Y
中兴,169,1,5,Z
中华,28,1,0,Z
中国重汽VGV,162,1,5,Z
知豆,168,1,0,Z
之诺,170,1,0,Z
智己汽车,419,1,2,Z
正道汽车,215,1,0,Z
Zenvo,218,1,0,Z
众泰,64,1,1,Z
智界,883,1,0,Z
自游家,485,1,0,Z
智点汽车,465,1,0,Z
智行盒子,484,1,0,Z
中国重汽,856,1,0,Z
中植汽车,468,1,0,Z
